date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:42:40	7342/7342	---M--	200	added ('OK')	image/png	etag:%226de5b4733e3466aada29b46109470336%22	http://cdn.legends.travian.info/gpack/2022.5/travian_mainPage/img_ltr/g/buildings/gaul/big/g21.png	C:/Users/ward/Desktop/ts7.x1.international.travian.com/cdn.legends.travian.info/gpack/2022.5/travian_mainPage/img_ltr/g/buildings/gaul/big/g21.png	(from http://cdn.legends.travian.info/gpack/2022.5/travian_mainPage/css_ltr/default_compressed1.css)
22:42:40	4252/4252	---M--	200	added ('OK')	image/png	etag:%2244dbf810c1e061283419add86e5219d6%22	http://cdn.legends.travian.info/gpack/2022.5/travian_mainPage/img_ltr/themes/default/buildings/egyptian/g21.png	C:/Users/ward/Desktop/ts7.x1.international.travian.com/cdn.legends.travian.info/gpack/2022.5/travian_mainPage/img_ltr/themes/default/buildings/egyptian/g21.png	(from http://cdn.legends.travian.info/gpack/2022.5/travian_mainPage/css_ltr/default_compressed1.css)
22:42:40	6859/6859	---M--	200	added ('OK')	image/png	etag:%22c611755878033ced85eedd64ce3b9dfb%22	http://cdn.legends.travian.info/gpack/2022.5/travian_mainPage/img_ltr/g/buildings/egyptian/big/g21.png	C:/Users/ward/Desktop/ts7.x1.international.travian.com/cdn.legends.travian.info/gpack/2022.5/travian_mainPage/img_ltr/g/buildings/egyptian/big/g21.png	(from http://cdn.legends.travian.info/gpack/2022.5/travian_mainPage/css_ltr/default_compressed1.css)
22:42:41	4439/4439	---M--	200	added ('OK')	image/png	etag:%224cd693039b1b40e9fe81bbfa1940a49e%22	http://cdn.legends.travian.info/gpack/2022.5/travian_mainPage/img_ltr/themes/default/buildings/hun/g21.png	C:/Users/ward/Desktop/ts7.x1.international.travian.com/cdn.legends.travian.info/gpack/2022.5/travian_mainPage/img_ltr/themes/default/buildings/hun/g21.png	(from http://cdn.legends.travian.info/gpack/2022.5/travian_mainPage/css_ltr/default_compressed1.css)
22:42:41	7398/7398	---M--	200	added ('OK')	image/png	etag:%22face7eed83c06cbdd545e4cf00fde9c5%22	http://cdn.legends.travian.info/gpack/2022.5/travian_mainPage/img_ltr/g/buildings/hun/big/g21.png	C:/Users/ward/Desktop/ts7.x1.international.travian.com/cdn.legends.travian.info/gpack/2022.5/travian_mainPage/img_ltr/g/buildings/hun/big/g21.png	(from http://cdn.legends.travian.info/gpack/2022.5/travian_mainPage/css_ltr/default_compressed1.css)
22:42:41	4474/4474	---M--	200	added ('OK')	image/png	etag:%220ef47910a31a4fc749c85e6ab7989a72%22	http://cdn.legends.travian.info/gpack/2022.5/travian_mainPage/img_ltr/themes/default/buildings/spartan/g21.png	C:/Users/ward/Desktop/ts7.x1.international.travian.com/cdn.legends.travian.info/gpack/2022.5/travian_mainPage/img_ltr/themes/default/buildings/spartan/g21.png	(from http://cdn.legends.travian.info/gpack/2022.5/travian_mainPage/css_ltr/default_compressed1.css)
22:42:42	8189/8189	---M--	200	added ('OK')	image/png	etag:%2203ca361affe9e17d345629497d5bf0ab%22	http://cdn.legends.travian.info/gpack/2022.5/travian_mainPage/img_ltr/g/buildings/spartan/big/g21.png	C:/Users/ward/Desktop/ts7.x1.international.travian.com/cdn.legends.travian.info/gpack/2022.5/travian_mainPage/img_ltr/g/buildings/spartan/big/g21.png	(from http://cdn.legends.travian.info/gpack/2022.5/travian_mainPage/css_ltr/default_compressed1.css)
22:42:42	5005/5005	---M--	200	added ('OK')	image/png	etag:%2239aab8ea3a87fa3d4a711f601b2ad4bf%22	http://cdn.legends.travian.info/gpack/2022.5/travian_mainPage/img_ltr/themes/default/buildings/roman/g22.png	C:/Users/ward/Desktop/ts7.x1.international.travian.com/cdn.legends.travian.info/gpack/2022.5/travian_mainPage/img_ltr/themes/default/buildings/roman/g22.png	(from http://cdn.legends.travian.info/gpack/2022.5/travian_mainPage/css_ltr/default_compressed1.css)
22:42:42	8544/8544	---M--	200	added ('OK')	image/png	etag:%228191d95fd2d7ebbfabdccb4ca3b845cc%22	http://cdn.legends.travian.info/gpack/2022.5/travian_mainPage/img_ltr/g/buildings/roman/big/g22.png	C:/Users/ward/Desktop/ts7.x1.international.travian.com/cdn.legends.travian.info/gpack/2022.5/travian_mainPage/img_ltr/g/buildings/roman/big/g22.png	(from http://cdn.legends.travian.info/gpack/2022.5/travian_mainPage/css_ltr/default_compressed1.css)
22:42:43	5136/5136	---M--	200	added ('OK')	image/png	etag:%22edf823a208159696b1fc1d6b6f8ca50c%22	http://cdn.legends.travian.info/gpack/2022.5/travian_mainPage/img_ltr/themes/default/buildings/teuton/g22.png	C:/Users/ward/Desktop/ts7.x1.international.travian.com/cdn.legends.travian.info/gpack/2022.5/travian_mainPage/img_ltr/themes/default/buildings/teuton/g22.png	(from http://cdn.legends.travian.info/gpack/2022.5/travian_mainPage/css_ltr/default_compressed1.css)
22:42:43	9230/9230	---M--	200	added ('OK')	image/png	etag:%22bbb3bd08ccb450786e98b00acb54e112%22	http://cdn.legends.travian.info/gpack/2022.5/travian_mainPage/img_ltr/g/buildings/teuton/big/g22.png	C:/Users/ward/Desktop/ts7.x1.international.travian.com/cdn.legends.travian.info/gpack/2022.5/travian_mainPage/img_ltr/g/buildings/teuton/big/g22.png	(from http://cdn.legends.travian.info/gpack/2022.5/travian_mainPage/css_ltr/default_compressed1.css)
22:42:43	5068/5068	---M--	200	added ('OK')	image/png	etag:%224bc2c30562eb9d36cc442da062b7ad66%22	http://cdn.legends.travian.info/gpack/2022.5/travian_mainPage/img_ltr/themes/default/buildings/gaul/g22.png	C:/Users/ward/Desktop/ts7.x1.international.travian.com/cdn.legends.travian.info/gpack/2022.5/travian_mainPage/img_ltr/themes/default/buildings/gaul/g22.png	(from http://cdn.legends.travian.info/gpack/2022.5/travian_mainPage/css_ltr/default_compressed1.css)
22:42:44	9122/9122	---M--	200	added ('OK')	image/png	etag:%2205a907682702f10833eeddd09b8021f8%22	http://cdn.legends.travian.info/gpack/2022.5/travian_mainPage/img_ltr/g/buildings/gaul/big/g22.png	C:/Users/ward/Desktop/ts7.x1.international.travian.com/cdn.legends.travian.info/gpack/2022.5/travian_mainPage/img_ltr/g/buildings/gaul/big/g22.png	(from http://cdn.legends.travian.info/gpack/2022.5/travian_mainPage/css_ltr/default_compressed1.css)
